ユら戳 ,,ユ澄る,秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,*Θユ秖,挡衡基,*ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基
2000/1/4,TX ,200001,8688,8939,8650,8843,《279,《3.26%,2800,8843,2946,8840,8845,8939,7502
2000/1/4,TX ,200002,8718,8923,8641,8870,《280,《3.26%,139,8870,216,8866,8870,8923,7805
2000/1/4,TX ,200003,8700,8969,8700,8899,《297,《3.45%,48,8899,126,8858,8970,8969,6930
2000/1/4,TX ,200006,8799,8966,8799,8950,《250,《2.87%,12,8950,129,8910,9059,8966,6962
2000/1/4,TX ,200009,-,-,-,-,-,-,-,9014,4,-,-,-,-
2000/1/4,TF ,200001,990,1033,987,1015,《31,《3.15%,330,1015,645,1015,1017,1033,917
2000/1/4,TF ,200002,1022,1022,1020,1020,《53.2,《5.50%,2,1020,2,972,1020,1022,1020
2000/1/4,TF ,200003,-,-,-,-,-,-,-,1031,8,-,-,-,-
2000/1/4,TF ,200006,-,-,-,-,-,-,-,1007.2,1,-,-,-,-
2000/1/4,TF ,200009,-,-,-,-,-,-,-,997.2,0,-,-,-,-
2000/1/4,TE ,200001,462,487,461,481.55,《26.4,《5.80%,1438,481.55,1339,481.55,481.6,487,384
2000/1/4,TE ,200002,463,486.85,463,485,《30,《6.59%,55,485,44,480.6,486,486.85,413
2000/1/4,TE ,200003,487,488,487,488,《31.65,《6.94%,2,488,7,488,0,488,368
2000/1/4,TE ,200006,-,-,-,-,-,-,-,476.5,0,-,-,-,-
2000/1/4,TE ,200009,-,-,-,-,-,-,-,483.1,1,-,-,-,-
2000/1/5,TX ,200001,8718,8870,8671,8810,】-33,】-0.37%,2854,8810,3120,8810,8839,8939,7502
2000/1/5,TX ,200002,8749,8895,8716,8860,】-10,】-0.11%,191,8860,275,8860,8870,8923,7805
2000/1/5,TX ,200003,8690,8890,8690,8851,】-48,】-0.54%,22,8851,115,8851,8930,8969,6930
2000/1/5,TX ,200006,8900,9028,8900,8950,-,-,5,8950,130,8910,9028,9028,6962
2000/1/5,TX ,200009,-,-,-,-,-,-,-,8981,4,-,-,-,-
2000/1/5,TF ,200001,1003,1028.6,995,1003.2,】-11.8,】-1.16%,304,1003.2,691,1003.2,1009.6,1033,917
2000/1/5,TF ,200002,-,-,-,-,-,-,-,1008.2,2,-,-,-,-
2000/1/5,TF ,200003,-,-,-,-,-,-,-,1019.2,8,-,-,-,-
2000/1/5,TF ,200006,-,-,-,-,-,-,-,995.4,1,-,-,-,-
2000/1/5,TF ,200009,-,-,-,-,-,-,-,985.4,0,-,-,-,-
2000/1/5,TE ,200001,470,478.4,464,476.8,】-4.75,】-0.99%,1556,476.8,1596,476.6,476.8,487,384
2000/1/5,TE ,200002,471.2,480.8,465.05,477.5,】-7.5,】-1.55%,61,477.5,73,476.1,479,486.85,413
2000/1/5,TE ,200003,480,480,480,480,】-8,】-1.64%,1,480,7,469,522.15,488,368
2000/1/5,TE ,200006,-,-,-,-,-,-,-,471.75,0,-,-,-,-
2000/1/5,TE ,200009,-,-,-,-,-,-,-,478.35,1,-,-,-,-
2000/1/6,TX ,200001,8840,9005,8820,8850,《40,《0.45%,2501,8850,3440,8845,8850,9005,7502
2000/1/6,TX ,200002,8895,9045,8840,8883,《23,《0.26%,173,8883,310,8880,8883,9045,7805
2000/1/6,TX ,200003,8935,9000,8901,9000,《149,《1.68%,13,9000,112,8955,9045,9000,6930
2000/1/6,TX ,200006,9030,9055,8910,8986,《36,《0.40%,6,8986,131,8956,9031,9055,6962
2000/1/6,TX ,200009,-,-,-,-,-,-,-,9021,4,-,-,-,-
2000/1/6,TF ,200001,1008,1030,1007,1018,《14.8,《1.48%,322,1018,636,1017,1020,1033,917
2000/1/6,TF ,200002,-,-,-,-,-,-,-,1023,2,-,-,-,-
2000/1/6,TF ,200003,-,-,-,-,-,-,-,1034,8,-,-,-,-
2000/1/6,TF ,200006,-,-,-,-,-,-,-,1010.2,1,-,-,-,-
2000/1/6,TF ,200009,-,-,-,-,-,-,-,1000.2,0,-,-,-,-
2000/1/6,TE ,200001,477,480,469.1,470,】-6.8,】-1.43%,1066,470,1771,470,470.05,487,384
2000/1/6,TE ,200002,471.05,483.45,471,472.1,】-5.4,】-1.13%,53,472.1,98,471,472.1,486.85,413
2000/1/6,TE ,200003,-,-,-,-,-,-,-,473.2,7,-,-,-,-
2000/1/6,TE ,200006,-,-,-,-,-,-,-,464.95,0,-,-,-,-
2000/1/6,TE ,200009,-,-,-,-,-,-,-,471.55,1,-,-,-,-
2000/1/7,TX ,200001,8781,8870,8711,8829,】-21,】-0.24%,2409,8829,3227,8825,8829,9005,7502
2000/1/7,TX ,200002,8802,8896,8751,8847,】-36,】-0.41%,163,8847,365,8847,8850,9045,7805
2000/1/7,TX ,200003,8800,8945,8800,8945,】-55,】-0.61%,16,8945,113,8857,8945,9000,6930
2000/1/7,TX ,200006,8860,8960,8860,8930,】-56,】-0.62%,11,8930,134,8900,8980,9055,6962
2000/1/7,TX ,200009,-,-,-,-,-,-,-,9000,4,-,-,-,-
2000/1/7,TF ,200001,1020,1039.8,1014,1014,】-4,】-0.39%,324,1014,604,1014,1019,1039.8,917
2000/1/7,TF ,200002,1055.8,1055.8,1055.8,1055.8,《32.8,《3.21%,1,1019,3,1010,1056,1055.8,1020
2000/1/7,TF ,200003,1012,1012,1012,1012,】-22,】-2.13%,1,1012,7,1010.2,0,1020,933.4
2000/1/7,TF ,200006,-,-,-,-,-,-,-,1006.2,1,-,-,-,-
2000/1/7,TF ,200009,-,-,-,-,-,-,-,996.2,0,-,-,-,-
2000/1/7,TE ,200001,462,464,454.3,462,】-8,】-1.70%,1262,462,1738,461.8,462,487,384
2000/1/7,TE ,200002,463.8,467.3,458,464,】-8.1,】-1.72%,64,464,115,462.5,464.4,486.85,413
2000/1/7,TE ,200003,465,465,465,465,】-8.2,】-1.73%,1,465.2,7,448,488,488,368
2000/1/7,TE ,200006,-,-,-,-,-,-,-,456.95,0,-,-,-,-
2000/1/7,TE ,200009,-,-,-,-,-,-,-,463.55,1,-,-,-,-
2000/1/10,TX ,200001,8949,9200,8880,9200,《371,《4.20%,2638,9200,3275,9180,9200,9200,7502
2000/1/10,TX ,200002,8900,9140,8870,9140,《293,《3.31%,277,9140,438,9138,9140,9140,7805
2000/1/10,TX ,200003,8965,9150,8826,9150,《205,《2.29%,39,9150,113,9130,9180,9150,6930
2000/1/10,TX ,200006,9117,9186,9117,9186,《256,《2.87%,5,9186,134,9176,9260,9186,6962
2000/1/10,TX ,200009,-,-,-,-,-,-,-,9371,4,-,-,-,-
2000/1/10,TF ,200001,1016,1029.8,1013,1029,《15,《1.48%,196,1029,569,1028.2,1029,1039.8,917
2000/1/10,TF ,200002,-,-,-,-,-,-,-,1034,3,-,-,-,-
2000/1/10,TF ,200003,-,-,-,-,-,-,-,1027,7,-,-,-,-
2000/1/10,TF ,200006,-,-,-,-,-,-,-,1021.2,1,-,-,-,-
2000/1/10,TF ,200009,-,-,-,-,-,-,-,1011.2,0,-,-,-,-
2000/1/10,TE ,200001,470,485,466.1,485,《23,《4.98%,1037,485,1692,484,485,487,384
2000/1/10,TE ,200002,471,488,470,487,《23,《4.96%,75,487,119,482.2,487,488,413
2000/1/10,TE ,200003,480,480,480,480,《14.8,《3.18%,1,480,7,480,495,488,368
2000/1/10,TE ,200006,-,-,-,-,-,-,-,479.95,0,-,-,-,-
2000/1/10,TE ,200009,-,-,-,-,-,-,-,486.55,1,-,-,-,-
2000/1/11,TX ,200001,9340,9340,8930,8951,】-249,】-2.71%,3367,8951,2750,8951,8960,9340,7502
2000/1/11,TX ,200002,9305,9348,8980,8995,】-145,】-1.59%,540,8995,523,8990,9000,9348,7805
2000/1/11,TX ,200003,9200,9383,9050,9050,】-100,】-1.09%,37,9050,114,9030,9050,9383,6930
2000/1/11,TX ,200006,9200,9486,9105,9105,】-81,】-0.88%,15,9160,131,9100,9330,9486,6962
2000/1/11,TX ,200009,-,-,-,-,-,-,-,9122,4,-,-,-,-
2000/1/11,TF ,200001,1034,1050,1017,1026,】-3,】-0.29%,358,1026,547,1025,1028.6,1050,917
2000/1/11,TF ,200002,1105,1105,1046.2,1055,《21,《2.03%,59,1055,48,1045,1059,1105,1020
2000/1/11,TF ,200003,-,-,-,-,-,-,-,1024,7,-,-,-,-
2000/1/11,TF ,200006,-,-,-,-,-,-,-,1018.2,1,-,-,-,-
2000/1/11,TF ,200009,-,-,-,-,-,-,-,1008.2,0,-,-,-,-
2000/1/11,TE ,200001,492.1,497,467.5,471,】-14,】-2.89%,1642,471,1681,471,471.2,497,384
2000/1/11,TE ,200002,496,500,472.1,478.5,】-8.5,】-1.75%,276,478.5,255,477.1,478.5,500,413
2000/1/11,TE ,200003,-,-,-,-,-,-,-,466,7,-,-,-,-
2000/1/11,TE ,200006,-,-,-,-,-,-,-,465.95,0,-,-,-,-
2000/1/11,TE ,200009,-,-,-,-,-,-,-,472.55,1,-,-,-,-
2000/1/12,TX ,200001,8951,9190,8951,9190,《239,《2.67%,2028,9190,2821,9190,9192,9340,7502
2000/1/12,TX ,200002,8975,9200,8950,9200,《205,《2.28%,346,9200,605,9200,9201,9348,7805
2000/1/12,TX ,200003,8950,9200,8950,9200,《150,《1.66%,10,9200,117,9130,9250,9383,6930
2000/1/12,TX ,200006,9160,9276,9160,9276,《116,《1.27%,2,9276,132,9165,9300,9486,6962
2000/1/12,TX ,200009,-,-,-,-,-,-,-,9361,4,-,-,-,-
2000/1/12,TF ,200001,1033.2,1054,1030,1050,《24,《2.34%,224,1050,528,1050,1051,1054,917
2000/1/12,TF ,200002,1062,1076,1061,1073,《18,《1.71%,39,1073,74,1062,1074,1105,1020
2000/1/12,TF ,200003,-,-,-,-,-,-,-,1048,7,-,-,-,-
2000/1/12,TF ,200006,-,-,-,-,-,-,-,1042.2,1,-,-,-,-
2000/1/12,TF ,200009,-,-,-,-,-,-,-,1032.2,0,-,-,-,-
2000/1/12,TE ,200001,473,485.1,471.6,485.1,《14.1,《2.99%,1055,485.1,1590,485.1,485.8,497,384
2000/1/12,TE ,200002,476.6,488.5,474,488.5,《10,《2.09%,177,488.5,285,488.5,488.8,500,413
2000/1/12,TE ,200003,485,485,485,485,《19,《4.08%,1,485,7,476,498,488,368
2000/1/12,TE ,200006,-,-,-,-,-,-,-,480.05,0,-,-,-,-
2000/1/12,TE ,200009,-,-,-,-,-,-,-,486.65,1,-,-,-,-
2000/1/13,TX ,200001,9190,9195,9066,9115,】-75,】-0.82%,1796,9115,2946,9115,9117,9340,7502
2000/1/13,TX ,200002,9210,9220,9086,9140,】-60,】-0.65%,462,9140,769,9140,9149,9348,7805
2000/1/13,TX ,200003,9250,9250,9109,9116,】-84,】-0.91%,14,9156,115,9110,9213,9383,6930
2000/1/13,TX ,200006,9535,9535,9236,9236,】-40,】-0.43%,5,9236,132,9206,9320,9535,6962
2000/1/13,TX ,200009,-,-,-,-,-,-,-,9286,4,-,-,-,-
2000/1/13,TF ,200001,1052,1079,1048,1076,《26,《2.48%,334,1076,512,1075.2,1077,1079,917
2000/1/13,TF ,200002,1068,1095,1068,1090,《17,《1.58%,26,1090,82,1089,1096,1105,1020
2000/1/13,TF ,200003,-,-,-,-,-,-,-,1074,7,-,-,-,-
2000/1/13,TF ,200006,-,-,-,-,-,-,-,1068.2,1,-,-,-,-
2000/1/13,TF ,200009,-,-,-,-,-,-,-,1058.2,0,-,-,-,-
2000/1/13,TE ,200001,485.1,485.5,475,478.45,】-6.65,】-1.37%,864,478.45,1618,478.45,478.5,497,384
2000/1/13,TE ,200002,489.1,492,478,483.9,】-4.6,】-0.94%,162,483.9,330,480.1,483.9,500,413
2000/1/13,TE ,200003,492,492,492,492,《7,《1.44%,1,492,8,475,0,492,368
2000/1/13,TE ,200006,-,-,-,-,-,-,-,473.4,0,-,-,-,-
2000/1/13,TE ,200009,-,-,-,-,-,-,-,480,1,-,-,-,-
2000/1/14,TX ,200001,9161,9190,8976,9073,】-42,】-0.46%,2198,9073,2536,9070,9073,9340,7502
2000/1/14,TX ,200002,9200,9247,9046,9110,】-30,】-0.33%,595,9110,905,9110,9118,9348,7805
2000/1/14,TX ,200003,9150,9150,9106,9106,】-50,】-0.55%,7,9154,113,9062,9154,9383,6930
2000/1/14,TX ,200006,9245,9245,9150,9150,】-86,】-0.93%,6,9150,133,9130,9226,9535,6962
2000/1/14,TX ,200009,-,-,-,-,-,-,-,9244,4,-,-,-,-
2000/1/14,TF ,200001,1079,1081,1055.2,1057,】-19,】-1.77%,302,1057,411,1056.4,1057,1081,917
2000/1/14,TF ,200002,1090,1103,1076,1076,】-14,】-1.28%,38,1076,96,1076,1081,1105,1020
2000/1/14,TF ,200003,-,-,-,-,-,-,-,1055,7,-,-,-,-
2000/1/14,TF ,200006,-,-,-,-,-,-,-,1049.2,1,-,-,-,-
2000/1/14,TF ,200009,-,-,-,-,-,-,-,1039.2,0,-,-,-,-
2000/1/14,TE ,200001,482,485,470.1,475.1,】-3.35,】-0.70%,1009,475.1,1584,475.1,475.4,497,384
2000/1/14,TE ,200002,486,488,475.2,480.5,】-3.4,】-0.70%,333,480.5,451,480,480.5,500,413
2000/1/14,TE ,200003,485,485,479,483,】-9,】-1.83%,7,479,15,478,484,492,368
2000/1/14,TE ,200006,-,-,-,-,-,-,-,470.05,0,-,-,-,-
2000/1/14,TE ,200009,-,-,-,-,-,-,-,476.65,1,-,-,-,-
2000/1/15,TX ,200001,9175,9230,9095,9230,《157,《1.73%,1556,9230,2262,9229,9230,9340,7502
2000/1/15,TX ,200002,9190,9270,9121,9270,《160,《1.76%,902,9270,1170,9270,9275,9348,7805
2000/1/15,TX ,200003,9240,9270,9200,9270,《116,《1.27%,11,9270,114,9241,9299,9383,6930
2000/1/15,TX ,200006,9470,9470,9330,9330,《180,《1.97%,2,9307,132,9266,9350,9535,6962
2000/1/15,TX ,200009,-,-,-,-,-,-,-,9401,4,-,-,-,-
2000/1/15,TF ,200001,1062,1074,1051,1068,《11,《1.04%,168,1068,370,1063.2,1069,1081,917
2000/1/15,TF ,200002,1098,1098,1077.2,1086,《10,《0.93%,44,1086,110,1085,1087.4,1105,1020
2000/1/15,TF ,200003,-,-,-,-,-,-,-,1066,7,-,-,-,-
2000/1/15,TF ,200006,-,-,-,-,-,-,-,1060.2,1,-,-,-,-
2000/1/15,TF ,200009,-,-,-,-,-,-,-,1050.2,0,-,-,-,-
2000/1/15,TE ,200001,482,488,478.5,488,《12.9,《2.72%,742,488,1449,488,488.3,497,384
2000/1/15,TE ,200002,484,492,482,492,《11.5,《2.39%,351,492,555,491,492,500,413
2000/1/15,TE ,200003,480,492,480,491.5,《12.5,《2.61%,11,491.5,12,486,495,492,368
2000/1/15,TE ,200006,-,-,-,-,-,-,-,482.95,0,-,-,-,-
2000/1/15,TE ,200009,-,-,-,-,-,-,-,489.55,1,-,-,-,-
2000/1/17,TX ,200001,9230,9390,9201,9300,《70,《0.76%,1264,9300,1832,9300,9305,9390,7502
2000/1/17,TX ,200002,9300,9498,9241,9385,《115,《1.24%,1850,9385,1761,9382,9385,9498,7805
2000/1/17,TX ,200003,9400,9470,9280,9420,《150,《1.62%,53,9420,125,9400,9450,9470,6930
2000/1/17,TX ,200006,9400,9535,9400,9456,《149,《1.60%,6,9456,132,9410,9520,9535,6962
2000/1/17,TX ,200009,-,-,-,-,-,-,-,9471,4,-,-,-,-
2000/1/17,TF ,200001,1074,1092,1065,1080,《12,《1.12%,244,1080,238,1078,1082.2,1092,917
2000/1/17,TF ,200002,1091.2,1118,1089,1107,《21,《1.93%,134,1107,189,1105.2,1107,1118,1020
2000/1/17,TF ,200003,1041,1041,1041,1041,】-25,】-2.35%,1,1041,7,1021,1129,1041,933.4
2000/1/17,TF ,200006,-,-,-,-,-,-,-,1072.2,1,-,-,-,-
2000/1/17,TF ,200009,-,-,-,-,-,-,-,1062.2,0,-,-,-,-
2000/1/17,TE ,200001,488,492,484,487.95,】-0.05,】-0.01%,527,487.95,1400,487.95,488,497,384
2000/1/17,TE ,200002,491,496.95,489,492.1,《0.1,《0.02%,539,492.1,725,492.1,492.85,500,413
2000/1/17,TE ,200003,491,491,491,491,】-0.5,】-0.10%,1,491,11,490.8,498,492,368
2000/1/17,TE ,200006,488.95,488.95,488.95,488.95,《6,《1.24%,4,488.95,4,0,0,488.95,364.8
2000/1/17,TE ,200009,-,-,-,-,-,-,-,489.5,1,-,-,-,-
2000/1/18,TX ,200001,9290,9298,9206,9278,】-22,】-0.24%,607,9278,1571,9263,9279,9390,7502
2000/1/18,TX ,200002,9349,9353,9265,9353,】-32,】-0.34%,1645,9353,2078,9353,9358,9498,7805
2000/1/18,TX ,200003,9400,9400,9288,9360,】-60,】-0.64%,34,9360,129,9321,9361,9470,6930
2000/1/18,TX ,200006,9428,9428,9361,9370,】-86,】-0.91%,6,9372,133,9313,9420,9535,6962
2000/1/18,TX ,200009,-,-,-,-,-,-,-,9449,4,-,-,-,-
2000/1/18,TF ,200001,1079,1080,1065,1067.2,】-12.8,】-1.19%,78,1067.2,189,1067.2,1068.2,1092,917
2000/1/18,TF ,200002,1107,1109,1087,1093,】-14,】-1.26%,149,1093,283,1091.6,1093.6,1118,1020
2000/1/18,TF ,200003,-,-,-,-,-,-,-,1028.2,7,-,-,-,-
2000/1/18,TF ,200006,-,-,-,-,-,-,-,1059.4,1,-,-,-,-
2000/1/18,TF ,200009,-,-,-,-,-,-,-,1049.4,0,-,-,-,-
2000/1/18,TE ,200001,487.3,487.3,480.3,484.85,】-3.1,】-0.64%,389,484.85,1377,484.85,484.95,497,384
2000/1/18,TE ,200002,490.6,491,482.5,489.1,】-3,】-0.61%,691,489.1,859,489.1,489.2,500,413
2000/1/18,TE ,200003,488.5,493,485,485,】-6,】-1.22%,8,487.9,16,480.2,490,493,368
2000/1/18,TE ,200006,489,489,488.1,488.1,】-0.85,】-0.17%,4,485.85,1,488.1,497,489,364.8
2000/1/18,TE ,200009,-,-,-,-,-,-,-,486.4,1,-,-,-,-
